Hora,No,Vibracion,Lugar
14:26:45,440,3.982,domo
14:26:45,441,17.54,domo
14:26:45,442,8.419,domo
14:26:45,443,0.337,domo
14:26:45,444,5.496,domo
14:26:45,445,9.071,domo
14:26:45,446,13.48,domo
14:26:45,447,15.63,domo
14:26:45,448,24.5,domo
14:26:45,449,3.574,domo
14:26:45,450,6.942,domo
14:26:45,451,16.56,domo
14:26:45,452,8.269,domo
14:26:45,453,5.207,domo
14:26:46,454,16.03,domo
14:26:46,455,9.76,domo
14:26:46,456,1.903,domo
14:26:46,457,18.41,domo
14:26:46,458,9.823,domo
14:26:46,459,16.84,domo
14:26:46,460,16.89,domo
14:26:46,461,1.19,domo
14:26:46,462,5.003,domo
14:26:46,463,10.05,domo
14:26:46,464,4.47,domo
14:26:46,465,2.19,domo
14:26:46,466,7.348,domo
14:26:47,467,11.86,domo
14:26:47,468,0.369,domo
14:26:48,469,11.01,domo
14:26:48,470,9.782,domo
14:26:48,471,9.922,domo
14:26:48,472,16.13,domo
14:26:48,473,8.233,domo
14:26:48,474,10.96,domo
14:26:48,475,3.97,domo
14:26:48,476,8.502,domo
14:26:48,477,5.934,domo
14:26:48,478,7.538,domo
14:26:48,479,5.43,domo
14:26:48,480,1.251,domo
14:26:48,481,17.53,domo
14:26:48,482,11.18,domo
14:26:48,483,6.212,domo
14:26:48,484,3.251,domo
14:26:48,485,16.2,domo
14:26:48,486,3.084,domo
14:26:49,487,3.607,domo
14:26:49,488,4.544,domo
14:26:49,489,4.345,domo
14:26:49,490,9.075,domo
14:26:49,491,13.03,domo
14:26:49,492,12.59,domo
14:26:49,493,7.847,domo
14:26:49,494,5.516,domo
14:26:49,495,12.31,domo
14:26:49,496,15.82,domo
14:26:49,497,-0.11,domo
14:26:49,498,2.779,domo
14:26:49,499,23.62,domo
14:26:49,500,7.871,domo
14:26:49,501,13.9,domo
14:26:49,502,13.84,domo
14:26:49,503,3.406,domo
14:26:49,504,21.89,domo
14:26:50,505,5.229,domo
14:26:50,506,3.835,domo
14:26:50,507,15.7,domo
14:26:50,508,7.957,domo
14:26:50,509,24.19,domo
14:26:50,510,11.75,domo
14:26:50,511,17.13,domo
14:26:50,512,4.519,domo
14:26:50,513,17.92,domo
14:26:50,514,6.305,domo
14:26:50,515,14.26,domo
14:26:50,516,9.423,domo
14:26:50,517,16.18,domo
14:26:50,518,21.88,domo
14:26:50,519,20.67,domo
14:26:50,520,1.734,domo
14:26:51,521,4.519,domo
14:26:51,522,16.88,domo
14:26:51,523,11.86,domo
14:26:51,524,11.12,domo
14:26:51,525,17.31,domo
14:26:51,526,8.089,domo
14:26:51,527,19.26,domo
14:26:51,528,10.53,domo
14:26:51,529,2.61,domo
14:26:51,530,2.981,domo
14:26:51,531,16.42,domo
14:26:51,532,2.009,domo
14:26:51,533,19.69,domo
14:26:51,534,18.23,domo
14:26:52,535,13.55,domo
14:26:52,536,21.5,domo
14:26:52,537,15.26,domo
14:26:52,538,2.46,domo
14:26:52,539,5.661,domo
14:26:52,540,20.3,domo
14:26:52,541,9.7,domo
14:26:52,542,5.061,domo
14:26:53,543,9.567,domo
14:26:53,544,5.278,domo
14:26:53,545,14.9,domo
14:26:53,546,15.66,domo
14:26:53,547,22.66,domo
14:26:53,548,14.46,domo
14:26:53,549,16.34,domo
14:26:53,550,8.703,domo
14:26:53,551,5.557,domo
14:26:53,552,4.946,domo
14:26:53,553,1.476,domo
14:26:53,554,10.12,domo
14:26:53,555,6.66,domo
14:26:53,556,6.89,domo
14:26:53,557,17.31,domo
14:26:54,558,16.91,domo
14:26:54,559,2.851,domo
14:26:54,560,2.585,domo
14:26:54,561,4.005,domo
14:26:54,562,12.12,domo
14:26:54,563,14.77,domo
14:26:54,564,13.75,domo
14:26:54,565,18.09,domo
14:26:54,566,16.18,domo
14:26:54,567,5.273,domo
14:26:54,568,3.033,domo
14:26:54,569,9.964,domo
14:26:54,570,18.98,domo
14:26:54,571,16.85,domo
14:26:54,572,7.556,domo
14:26:54,573,5.175,domo
14:26:55,574,17.31,domo
14:26:55,575,8.329,domo
14:26:55,576,17.86,domo
14:26:55,577,18.63,domo
14:26:55,578,16.98,domo
14:26:55,579,22.16,domo
14:26:55,580,7.778,domo
14:26:55,581,19.28,domo
14:26:55,582,3.147,domo
14:26:55,583,18.35,domo
14:26:55,584,9.321,domo
14:26:55,585,13.75,domo
14:26:55,586,12.44,domo
14:26:57,587,22.38,domo
14:26:57,588,2.001,domo
14:26:57,589,16,domo
14:26:57,590,23.21,domo
14:26:57,591,3.267,domo
14:26:57,592,21.82,domo
14:26:57,593,17.14,domo
14:26:57,594,5.17,domo
14:26:57,595,17.83,domo
14:26:57,596,10.33,domo
14:26:57,597,9.665,domo
14:26:57,598,3.626,domo
14:26:58,599,5.133,domo
14:26:58,600,4.085,domo
14:26:58,601,14.15,domo
14:26:58,602,11.39,domo
14:26:58,603,16.5,domo
14:26:58,604,21.82,domo
14:26:58,605,5.296,domo
14:26:58,606,21.82,domo
14:26:58,607,4.127,domo
14:26:58,608,16.94,domo
14:26:58,609,3.785,domo
14:26:58,610,5.414,domo
14:26:58,611,16.69,domo
14:26:58,612,6.675,domo
14:26:59,613,11.85,domo
14:26:59,614,24.41,domo
14:26:59,615,20.5,domo
14:26:59,616,5.742,domo
14:26:59,617,13.49,domo
14:26:59,618,15.1,domo
14:26:59,619,19.22,domo
14:26:59,620,17.46,domo
14:26:59,621,16.26,domo
14:26:59,622,0.57,domo
14:26:59,623,16.72,domo
14:26:59,624,6.008,domo
14:26:59,625,8.869,domo
14:26:59,626,4.858,domo
14:26:59,627,7.441,domo
14:26:59,628,8.629,domo
14:26:59,629,5.424,domo
14:26:59,630,16.99,domo
14:26:59,631,10.6,domo
14:26:59,632,8.595,domo
14:26:59,633,4.315,domo
14:26:59,634,3.704,domo
14:27:00,635,3.42,domo
14:27:00,636,11.42,domo
14:27:01,637,21.99,domo
14:27:01,638,16.55,domo
14:27:01,639,16.17,domo
14:27:01,640,18.89,domo
14:27:01,641,6.669,domo
14:27:01,642,15.88,domo
14:27:01,643,12.55,domo
14:27:01,644,14,domo
14:27:01,645,14.05,domo
14:27:01,646,9.926,domo
14:27:01,647,8.879,domo
14:27:01,648,16.22,domo
14:27:01,649,2.572,domo
14:27:01,650,22.19,domo
14:27:01,651,18.31,domo
14:27:01,652,2.94,domo
14:27:01,653,20.63,domo
14:27:01,654,10.16,domo
14:27:01,655,17.96,domo
14:27:01,656,4.829,domo
14:27:01,657,17.33,domo
14:27:01,658,16.87,domo
14:27:01,659,21.95,domo
14:27:01,660,15.39,domo
14:27:01,661,19.62,domo
14:27:01,662,9.659,domo
14:27:01,663,7.609,domo
14:27:02,664,17.55,domo
14:27:02,665,3.517,domo
14:27:02,666,19.11,domo
14:27:02,667,1.903,domo
14:27:02,668,14.85,domo
14:27:02,669,5.133,domo
14:27:02,670,16.01,domo
14:27:02,671,8.771,domo
14:27:02,672,11.12,domo
14:27:03,673,26.91,domo
14:27:03,674,14.13,domo
14:27:04,675,17.93,domo
14:27:04,676,2.321,domo
14:27:04,677,14.1,domo
14:27:04,678,9.086,domo
14:27:04,679,17.72,domo
14:27:04,680,4.077,domo
14:27:04,681,8.38,domo
14:27:04,682,17.38,domo
14:27:04,683,3.511,domo
14:27:04,684,15.64,domo
14:27:04,685,3.091,domo
14:27:04,686,14.58,domo
14:27:04,687,11.25,domo
14:27:04,688,23.49,domo
14:27:04,689,17.78,domo
14:27:05,690,16.49,domo
14:27:05,691,21.86,domo
14:27:05,692,17.1,domo
14:27:05,693,6.043,domo
14:27:05,694,15.42,domo
14:27:05,695,15.61,domo
14:27:05,696,3.448,domo
14:27:05,697,8.581,domo
14:27:05,698,12.61,domo
14:27:05,699,4.675,domo
14:27:05,700,5.433,domo
14:27:05,701,17.76,domo
14:27:06,702,17.15,domo
14:27:06,703,16.32,domo
14:27:06,704,6.977,domo
